cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,l2_rqsts.swpf_miss:u,page-faults:u,mem-stores:u,l1d_pend_miss.pending:u,frontend_retired.itlb_miss:u,IPC,CPI
449771401,1542118888,2202869,123604,2407950,2547378,7124,2754,1965716,1182,541,90,47334,31243,84025,60377,3820,24004,60377,6625,11115,8228,2598967,869,0,97076702,20139841,2955,3.42867262,0.291658059
456175180,1564089393,2435908,106090,2205448,2996840,6023,3237,2372560,1352,696,75,32473,20443,82568,149411,244912,44361,149411,7185,15688,5950,3062231,883,0,104199410,9564745,1999,3.428703405,0.29165544
449960854,1543879236,2344957,130381,2205609,3639258,7791,3955,2604149,761,691,85,37085,23056,68758,70772,4904,38126,70772,6651,16786,8039,3457437,998,0,95961445,13406187,4908,3.431141225,0.291448219
452678085,1558326943,2553899,90685,2448112,2461958,6121,2396,2604184,827,319,847,139297,34951,114865,63066,6726,30081,63066,4622,10183,5298,2387918,826,0,98379287,11983011,2635,3.44246164,0.290489802
453140111,1560144692,2112994,374153,3503577,2387471,25030,48717,1622692,1698,1062,150,111320,59071,170325,163986,10515,58345,163986,16570,29638,17830,2652098,2772,0,90803550,13951937,4159,3.442963124,0.290447491
448306748,1544815012,2044896,131117,1743392,4259663,28869,36589,1636379,2029,7009,170,102962,55997,180891,113120,18993,199480,113120,11529,3419,15674,4230850,3259,1526,96450690,16406883,3291,3.445888376,0.290200927
455965370,1571800833,2341512,109158,2341171,3115160,9741,4409,2133150,837,409,55,35384,19915,56181,67226,12688,33520,67226,6801,15600,6788,3065854,901,0,103610644,10033936,1688,3.447193441,0.29009106
456573279,1574236169,2053574,140401,2344600,3657166,9176,4780,2096150,1139,477,2862,119957,32422,115157,70239,4214,33184,70239,5285,13107,7502,3277838,976,0,102607477,11117515,2084,3.447937585,0.290028452
455829947,1571780116,2523281,100603,2106356,3061139,6705,3426,2555779,1363,555,630,154188,44308,142648,102012,5454,44358,102012,7778,16232,7577,3118787,895,0,102962945,9906750,2144,3.448172123,0.290008725
455927942,1573611067,2288690,111991,2067813,3602057,7704,4005,2527654,841,506,130,28689,22250,71989,127886,4340,35895,127886,9572,19463,12964,3586097,1061,0,104146452,9965687,1423,3.451446867,0.289733563
456483069,1576137090,2067911,165807,2426016,3541955,12707,6592,2057981,964,540,433,32074,27184,70257,102570,11322,41763,102570,13194,22688,13796,3406566,1327,0,100598647,14626895,1878,3.45278324,0.289621424
456647251,1578939888,2275650,108315,2407112,3104847,9343,3291,2222057,1652,400,120,85105,71562,169095,80399,11255,20281,80399,7685,11631,8524,2857645,870,0,104098668,11142021,1678,3.457679608,0.289211296
441994895,1530115325,2144148,138723,1286135,4206861,21998,47333,1560207,2290,3668,145,30490,115626,232336,281898,16517,239599,281898,25386,106094,41500,4467955,1420,7,98380659,13639136,7796,3.461839361,0.288863779
454399121,1573182448,2079686,186113,2629849,2898469,12791,4292,1987785,1726,503,586,53012,39986,105298,76629,5971,53170,76629,8145,15909,7794,2794965,1071,0,99635112,12849780,1599,3.462115958,0.288840701
456605121,1580919633,2573966,68756,2536186,2289436,5184,2371,2689432,1518,265,210,71322,42793,160137,224603,204186,41867,224603,8405,11442,6844,2553730,732,0,98181024,11475067,1568,3.462334434,0.288822475
454293783,1573098905,1864536,357455,2749169,3190865,15669,27026,1798106,1673,967,140,61568,65636,158979,107197,7020,42819,107197,8436,16696,10878,2925223,1459,0,95960036,22598683,3164,3.462734829,0.288789078
454933585,1577935384,2184274,201636,2527833,3397540,12134,6430,2249160,1352,896,340,55143,35803,223385,385137,49751,267378,385137,73602,57970,32126,2847288,1058,0,101468152,11192379,1053,3.468496141,0.288309388
455427668,1580949068,2188836,195509,2634788,3394141,26649,54486,1404905,2393,1325,922,171413,37058,121431,73889,13406,51719,73889,7749,19062,9308,3373433,1315,0,102438961,12931268,1999,3.471350511,0.288072321
434609937,1508796554,1933006,210010,3345442,2620051,13959,2983,1542614,4744,671,430,145007,130302,261548,116361,12568,35620,116361,8391,19036,10351,2347352,1396,0,95420697,21836135,4913,3.471610807,0.288050722
438030799,1520808155,2201338,106194,1172338,4264225,6560,5544,2442864,771,996,135,23822,16645,53550,70060,20384,73771,70060,7777,28468,8153,4552711,1120,0,99531167,10969675,7019,3.471920601,0.28802502
454366082,1577925940,1646650,143666,1231670,945241,39997,2941,234773,4459,2299,551,57222,25922,72424,68140,4396,46408,68140,6500,17028,7884,3550865,1114,0,102413118,11988537,2635,3.472807506,0.287951462
